Problem Description and Time Complexity required,Label
Check if a given sudoku is valid. O(N^2),0
"Merge the two lists in a one sorted list. The list should be made by splicing together the nodes of the first two lists.
    Return the head of the merged linked list. O(N)",1
"Given the root of a binary tree, invert the tree, and return its root. O(N)",0
"Given the head of a sorted linked list, delete all duplicates such that each element appears only once. Return the linked list sorted as well. O(N)",1
"Given two binary strings a and b, return their sum as a binary string. O(N)",1
Implement SelectionSort. O(N^2),0
Find the most common characters in a given string. O(N),1
"Write a fizzbuzz problem given a number. Output 'Fizzbuzz' if divisible by 3 and 5, 'Fizz' if divisible by 3 and 'Buzz' if divisible by 5. O(N)",1
"You are given an integer array arr. We split arr into some number of chunks (i.e., partitions), and individually sort each chunk. After concatenating them, the result should equal the sorted array.
    Return the largest number of chunks we can make to sort the array. O(N)",0
"Given an array nums of size n, return the majority element. The majority element is the element that appears more than half of times in the list. You may assume that the majority element always exists in the array. O(N)",1
"Given a m x n grid filled with non-negative numbers, find a path from top left to bottom right, which minimizes the sum of all numbers along its path.
    Note: You can only move either down or right at any point in time. O(N^2)",0
"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. O(logM * logN)",0
Check 2 strings are anagram. O(N),0
"You are given an array of non-overlapping intervals intervals where intervals[i] = [starti, endi] represent the start and the end of the ith interval and intervals is sorted in ascending order by starti. You are also given an interval newInterval = [start, end] that represents the start and end of another interval.
    Insert newInterval into intervals such that intervals is still sorted in ascending order by starti and intervals still does not have any overlapping intervals (merge overlapping intervals if necessary).
    Return intervals after the insertion. O(N)",0
"Given the head of a singly linked list, group all the nodes with odd indices together followed by the nodes with even indices, and return the reordered list.
    The first node is considered odd, and the second node is even, and so on. O(N)",1
"The variance of a string is defined as the largest difference between the number of occurrences of any 2 characters present in the string. Note the two characters may or may not be the same.
    Given a string s consisting of lowercase English letters only, return the largest variance possible among all substrings of s. O(N)",0
"Given the head of a linked list and an integer val, remove all the nodes of the linked list that has Node.val == val, and return the new head. O(N)",1
"You are given an integer array nums. The range of a subarray of nums is the difference between the largest and smallest element in the subarray.
    Return the sum of all subarray ranges of nums. O(N)",0
"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.
    You may assume that each input would have exactly one solution, and you may not use the same element twice.
    You can return the answer in any order. O(N)",0
"Given two strings s and t, return true if they are both one edit distance apart, otherwise return false. A string s is said to be one distance apart from a string t if you can:
    Insert exactly one character into s to get t. Delete exactly one character from s to get t. Replace exactly one character of s with a different character to get t. O(N)",0
"Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order. O(NlogK)",1
"Given the head of a linked list, remove the nth node from the end of the list and return its head. O(N)",1
"Given the head of a singly linked list, return true if it is a palindrome or false otherwise. O(N)",0
"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses. O(2^N)",0
"Given a string, remove 2 duplicate adjacent characters until none. Return the final string. O(N)",0
"Given an integer array nums and an integer k, return true if there are two distinct indices i and j in the array such that nums[i] == nums[j] and abs(i - j) <= k. O(N)",1
"Given an array of positive integers, find the subarray with the largest area. O(N)",0
"Given a binary tree, find the lowest common ancestor (LCA) of two given nodes in the tree. O(N)",0
"Given a string s, return the number of substrings that have only one distinct letter. O(N^3)",0
"Implement pow(x, n), which calculates x raised to the power n (i.e., xn). O(logN)",0
"Write a function to find the longest common prefix string amongst an array of strings.
    If there is no common prefix, return an empty string """". O(N^2)",1
"Given an array of integers heights representing the histogram's bar height where the width of each bar is 1, return the area of the largest rectangle in the histogram. O(N)",0
"Given an array of integers nums and an integer k, return the number of contiguous subarrays where the product of all the elements in the subarray is strictly less than k. O(N)",0
"Given a binary search tree (BST), find the lowest common ancestor (LCA) node of two given nodes in the BST. O(N)",0
"Given an integer array nums, find the subarray with the largest sum, and return its sum. O(N^3)",0
"Given an integer array nums, find the subarray with the largest sum, and return its sum. O(N)",0
"Given an array of integers nums, find the maximum length of a subarray where the product of all its elements is positive.
    A subarray of an array is a consecutive sequence of zero or more values taken out of that array. Return the maximum length of a subarray with positive product. O(N)",0
Implement Depth First Search of graph. O(N),1
"Given a non-negative integer x, return the square root of x rounded down to the nearest integer. The returned integer should be non-negative as well. O(N)",1
"Given the root of a binary tree, collect a tree's nodes as if you were doing this:
    Collect all the leaf nodes. Remove all the leaf nodes. Repeat until the tree is empty. O(N)",0
"Given a stream of integers and a window size, calculate the moving average of all integers in the sliding window. O(N^2)",0
"Given the root of a binary tree, return the sum of all left leaves. A leaf is a node with no children. A left leaf is a leaf that is the left child of another node. O(N)",1
Compute a nth factorial of a number. O(N),1
Implement BubbleSort. O(N^2),1
"Given an array of integers temperatures represents the daily temperatures, return an array answer such that answer[i] is the number of days you have to wait after the ith day to get a warmer temperature. 
    If there is no future day for which this is possible, keep answer[i] == 0 instead. O(N)",1
Find a target number in an sorted array. O(logN),1
"Given the head of a singly linked list, reverse the list, and return the reversed list. O(N)",1
"Given a linkedlist, return true if it contains a cycle false otherwise. A cycle in a linkedlist means the linkedlist has no tail. O(N)",0
Find postorder traverasl of a binary tree. O(N),1
"Given an array of integers nums and an integer limit, return the size of the longest non-empty subarray such that the absolute difference between any two elements of this subarray is less than or equal to limit. O(N)",0
"Given an m x n 2D binary grid grid which represents a map of '1's (land) and '0's (water), return the number of islands.
    An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically. You may assume all four edges of the grid are all surrounded by water. O(N^2)",0
"Given a string s that contains parentheses and letters, remove the minimum number of invalid parentheses to make the input string valid.
    Return a list of unique strings that are valid with the minimum number of removals. You may return the answer in any order. O(2^N)",0
"Given an integer array nums, move all 0's to the end of it while maintaining the relative order of the non-zero elements.
    Note that you must do this in-place without making a copy of the array. O(N)",0
"You are given an array of integers nums, there is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position.
    Return the max sliding window. O(N)",0
"Given a m * n matrix of ones and zeros, return how many square submatrices have all ones. O(MN)",0
"Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words.
    Note that the same word in the dictionary may be reused multiple times in the segmentation. O(N^3)",0
"Given a string s consisting of words and spaces, return the length of the last word in the string.
    A word is a maximal substring consisting of non-space characters only. O(N)",1
Write a function that takes the binary representation of an unsigned integer and returns the number of '1' bits it has (also known as the Hamming weight). O(N),1
"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. O(logN)",1
"Given an array nums of n integers where nums[i] is in the range [1, n], return an array of all the integers in the range [1, n] that do not appear in nums. O(N)",1
"Given two integer arrays nums1 and nums2, return an array of their intersection. Each element in the result must be unique and you may return the result in any order. O(N)",0
"Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.). O(N)",0
"Given the roots of two binary trees p and q, write a function to check if they are the same or not.
    Two binary trees are considered the same if they are structurally identical, and the nodes have the same value. O(N)",1
"Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value.
    If target is not found in the array, return [-1, -1]. O(logN)",0
"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[i]. O(N)",0
Implement Breath First Search of graph. O(N),1
"Given an array of integers arr, find the sum of min(b), where b ranges over every (contiguous) subarray of arr. O(N)",0
"A peak element is an element that is strictly greater than its neighbors.
    Given a 0-indexed integer array nums, find a peak element, and return its index. If the array contains multiple peaks, return the index to any of the peaks. O(logN)",0
You are given an integer array nums. Return the sign of the product of all values in the array nums. O(N),1
"Given the head of a singly linked list, return the middle node of the linked list. If there are two middle nodes, return the second middle node. O(N)",0
"Given an integer n, return any array containing n unique integers such that they add up to 0. O(N)",0
"Given an array prices where prices[i] is the price of a given stock on the ith day.
    You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock.
    Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0. O(N^2)",1
"Given a sorted array that is possibly rotated, e.g [0,1,2,4,5,6,7] might be rotated to [4,5,6,7,0,1,2]. 
    Given that array and a target number, return the index of target number if it exists in the array, else return -1. O(logN)",0
"Given a string s, find the first non-repeating character in it and return its index. If it does not exist, return -1. O(N^2)",1
"Given a binary tree where each node contains extra next pointer. Populate each next pointer to point to its next right node. If there is no next right node, the next pointer should be set to NULL.
    Initially, all next pointers are set to NULL. O(N)",0
Find inorder traversal of a binary tree. O(N),1
"Given a m x n grid filled with non-negative numbers, find a path from top left to bottom right, which minimizes the sum of all numbers along its path.
    Note: You can only move either down or right at any point in time. O(2^n)",0
"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.
    Merge all the linked-lists into one sorted linked-list and return it. O(N)",0
"Given a positive integer num, return true if num is a perfect square or false otherwise. O(N)",1
"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct. O(N)",1
"You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position.
    Return true if you can reach the last index, or false otherwise. O(N)",0
"Given a non-empty array of integers nums, every element appears twice except for one. Find that single one. O(N)",1
Write a program that checks if a number is positive or negative and prints the result to the console. O(N),1
"Implement a last-in-first-out (LIFO) stack using only two queues. The implemented stack should support all the functions of a normal stack (push, top, pop, and empty). O(N)",0
"Given two sparse vectors, compute their dot product. A sparse vector is a vector that has mostly zero values, you should store the sparse vector efficiently and compute the dot product between two SparseVector. O(N)",1
Given a 2D matrix where each row or column is sorted and a target value. Return true if target is in the matrix and false otherwise. O(logm * logn),0
Implement InsertionSort. O(N^2),1
"Given a string s, return true if it is a palindrome, or false otherwise. O(N)",1
"Given the root of a binary tree, imagine yourself standing on the right side of it, return the values of the nodes you can see ordered from top to bottom. O(N)",0
"Given an integer array nums sorted in non-decreasing order, return an array of the squares of each number sorted in non-decreasing order. O(N)",1
"Given the root of a binary tree, return the vertical order traversal of its nodes' values. (i.e., from top to bottom, column by column).
    If two nodes are in the same row and column, the order should be from left to right. O(N^2)",1
"Given the root of a binary tree, check whether it is a mirror of itself (i.e., symmetric around its center). O(N)",0
Check if a given string is a valid email address. O(N),0
"Given the root of binary tree, determine if it is  avalid binary search tree (BST). O(N)",0
"Given an integer array nums, return the length of the longest strictly increasing subsequence. O(N^2)",0
"Given two non-negative integers, num1 and num2 represented as string, return the sum of num1 and num2 as a string. O(N)",1
"You are given two integers, x and y, which represent your current location on a Cartesian grid: (x, y). 
    You are also given an array points where each points[i] = [ai, bi] represents that a point exists at (ai, bi). A point is valid if it shares the same x-coordinate or the same y-coordinate as your location.
    Return the index (0-indexed) of the valid point with the smallest Manhattan distance from your current location. If there are multiple, return the valid point with the smallest index. If there are no valid points, return -1.
    O(N)",1
"Given an integer array nums, find a subarray that has the largest product, and return the product. O(N)",0
"Given the root of a binary search tree and a node p in it, return the in-order successor of that node in the BST. If the given node has no in-order successor in the tree, return null.
    The successor of a node p is the node with the smallest key greater than p.val. O(N)",0
"Given an array of strings strs, group the anagrams together. You can return the answer in any order.
    An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once. O(N)",0
"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.
    Every close bracket has a corresponding open bracket of the same type. O(N)",0
"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target.
    Return the sum of the three integers. You may assume that each input would have exactly one solution. O(N^2)",1
"Given a string s and an integer k, return the length of the longest substring of s that contains at most k distinct characters. O(N)",0
"A string can be abbreviated by replacing any number of non-adjacent, non-empty substrings with their lengths. The lengths should not have leading zeros.
    Given a string word and an abbreviation abbr, return whether the string matches the given abbreviation.
    A substring is a contiguous non-empty sequence of characters within a string. O(N)",0
"Given an array of points where points[i] = [xi, yi] represents a point on the X-Y plane and an integer k, return the k closest points to the origin (0, 0).
    The distance between two points on the X-Y plane is the Euclidean distance. O(NlogK)",0
Calculate the nth Fibonacci number. O(N),1
"Given a string s, return the longest palindromic substring in s. O(N^2)",1
"Given a pattern and a string s, find if s follows the same pattern. O(N)",1
"Given 2 linked list of numbers, return their sum as a new linked list. O(N)",1
"Given two strings needle and haystack, return the index of the first occurrence of needle in haystack, or -1 if needle is not part of haystack. O(N^2)",1
Find preorder traversal of a binary tree. O(N),1
"Given an integer numRows, return the first numRows of Pascal's triangle.
    In Pascal's triangle, each number is the sum of the two numbers directly above it. O(N^2)",1
"Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals, and return an array of the non-overlapping intervals that cover all the intervals in the input. O(N)",0
"Given a 2D matrix, return its transpose. O(N^2)",1
"Given an integer x, return true if x is a palindrome, and false otherwise. O(N)",1
"Given a zero-based permutation nums (0-indexed), build an array ans of the same length where ans[i] = nums[nums[i]] for each 0 <= i < nums.length and return it. O(N)",0
"Given a string s, find the length of the longest substring without repeating characters. O(N^3)",0
"Given two strings text1 and text2, return the length of their longest common subsequence. If there is no common subsequence, return 0.
    A common subsequence of two strings is a subsequence that is common to both strings. O(NM)",0
"Given an array of integers nums and an integer k, return the total number of subarrays whose sum equals to k.
    A subarray is a contiguous non-empty sequence of elements within an array. O(N)",0
Find all prime numbers between 1 and 100. O(N),1
